Date,Open,High,Low,Close,Volume
1973-11-07,913.1,929.6,909.7,920.1,3737594
1973-11-08,923.9,946.8,923.9,932.7,4432331
1973-11-09,932.7,933,902.9,908.4,3906767
1973-11-12,908.4,910.8,885.5,897.7,4342105
1973-11-13,897.7,902.5,876.9,891,4581203
1973-11-14,891,899.5,865.4,869.9,5122556
1973-11-15,869.9,886.8,859.3,874.6,5533083
1973-11-16,874.6,905.1,869.2,891.3,5077444
1973-11-19,889.8,889.8,860.8,862.7,3766917
1973-11-20,862.4,862.4,836.2,844.9,5404511
1973-11-21,844.9,869.2,839.8,855,5472180
1973-11-23,855,861.5,847.5,854,2587218
1973-11-26,844.2,844.2,816.6,825,4472932
1973-11-27,825,833.2,810.4,817.7,4454887
1973-11-28,817.7,843.5,814.8,839.8,4509023
1973-11-29,839.8,846.9,824.3,835.1,4256391
1973-11-30,835.1,836,819.4,822.3,3469173
1973-12-03,820.5,820.5,798.3,806.5,4037594
1973-12-04,806.5,817.7,795.7,803.2,4292481
1973-12-05,803.2,806.8,783.6,788.3,4326316
1973-12-06,788.3,816.7,786.5,814.1,5246617
1973-12-07,815.5,846.6,815.5,838.1,5239850
1973-12-10,838.1,857.3,829.2,851.1,4193233
1973-12-11,851.1,861.1,830.8,834.2,4533835
1973-12-12,828.6,828.6,805.3,810.7,4103008
1973-12-13,810.7,821.6,794.4,800.4,4089474
1973-12-14,800.4,823.6,793.5,815.7,4511278
1973-12-17,815.7,821.4,804.2,811.1,2916541
1973-12-18,811.1,834.7,807.1,829.5,4396241
1973-12-19,829.5,847.9,821,829.6,4662406
1973-12-20,829.6,841.6,820.5,828.1,3911278
1973-12-21,828.1,830.7,809.8,818.7,4213534
1973-12-24,818.7,820.7,805.7,814.8,2603008
1973-12-26,820.2,844.1,820.2,837.6,4200000
1973-12-27,839,858.9,839,851,5124812
1973-12-28,851,857.6,839.9,848,4806767
1973-12-31,848,857.1,836.2,850.9,5293985
1974-01-02,850.9,859.2,841.4,855.3,2720301
1974-01-03,858.9,886.7,858.9,880.7,5605263
1974-01-04,880.7,890.4,868.1,880.2,4894737
1974-01-07,880.2,884,866.3,876.9,4301504
1974-01-08,876.9,880.8,857.7,861.8,4078195
1974-01-09,853,853,831.4,834.8,4075940
1974-01-10,834.8,845.2,816.6,823.1,3636090
1974-01-11,823.1,847.6,819.9,841.5,3415038
1974-01-14,841.5,855.6,833.3,840.2,3295489
1974-01-15,840.2,855.8,834.6,846.4,2988722
1974-01-16,846.4,861.2,842.5,856.1,3367669
1974-01-17,856.3,878.5,856.3,872.2,4745865
1974-01-18,872.2,873.2,850.9,855.5,3715038
1974-01-21,855.5,858.9,835.8,854.6,3525564
1974-01-22,854.6,871.6,850.7,863.5,3909023
1974-01-23,863.5,878.7,859,871,3809774
1974-01-24,871,875.9,853.5,863.1,3604511
1974-01-25,863.1,869.2,850.7,859.4,3351880
1974-01-28,859.4,862.2,847.3,853,3024812
1974-01-29,853,858.9,844.5,852.3,2898496
1974-01-30,853.1,869.8,853.1,862.3,3787218
1974-01-31,862.3,868.9,852,855.6,3162406
1974-02-01,855.6,856.6,838,843.9,2815038
1974-02-04,838.6,838.6,816.5,821.5,3243609
1974-02-05,821.5,829.9,812,820.6,2891729
1974-02-06,820.6,831.4,817.5,824.6,2618797
1974-02-07,824.6,833.9,819.4,828.5,2650376
1974-02-08,828.5,831.9,817.8,820.4,2930075
1974-02-11,820.4,821.3,802.2,803.9,2916541
1974-02-12,803.9,811.7,795.7,806.6,2914286
1974-02-13,806.6,816.2,803,806.9,2478947
1974-02-14,806.9,816.6,802.2,809.9,2758647
1974-02-15,809.9,825.7,808.1,820.3,2851128
1974-02-19,820.3,840.5,816.7,819.5,3595489
1974-02-20,819.5,834.9,814.2,831,2632331
1974-02-21,831,849.7,830.2,846.8,3142105
1974-02-22,846.8,862.4,843,856,3690226
1974-02-25,856,859.2,843.8,851.4,2909774
1974-02-26,851.4,861.8,843.1,859.5,3577444
1974-02-27,859.5,871.4,855.8,863.4,4224812
1974-02-28,863.4,868.2,851.9,860.5,3085714
1974-03-01,860.5,861.6,845.9,851.9,2905263
1974-03-04,851.9,855,841.8,853.2,2767669
1974-03-05,860.4,880.4,860.4,872.4,4957895
1974-03-06,872.4,885.3,866.5,879.9,4317293
1974-03-07,879.9,880.2,865.1,869.1,3270677
1974-03-08,869.1,880.9,858.8,878.1,3656391
1974-03-11,878.1,893.3,865.9,888.5,4166165
1974-03-12,888.5,895.6,877.5,887.1,3890977
1974-03-13,887.1,900.8,881.9,891.7,3793985
1974-03-14,891.7,904,885.2,889.8,4459398
1974-03-15,889.8,893.4,878.7,887.8,3270677
1974-03-18,887.8,889.9,870.4,874.2,3160150
1974-03-19,874.2,875.7,861.9,867.6,2887218
1974-03-20,867.6,878.6,863,872.3,2923308
1974-03-21,872.3,887.1,870.2,875.5,2921053
